duration_h,stratum,kind,aep_rain,weight,depth_point_mm,arf,depth_mm,q_peak,t_peak_h,volume_m3,prod_store,rout_store,donor_index,pattern_id,pattern_band,pattern_index,burst_start_step,month
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,0.0965598480393863,20.0,10345.124587499971,3.105357790037527,18.00053638581747,55,6877,frequent,1,0,6
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,0.4517341117197554,21.0,50218.34210185963,15.134229400179883,25.330345548297927,6,6896,frequent,3,0,8
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,0.3416064954193953,21.0,38027.87999813149,12.305034421067177,24.180018777259853,50,6903,frequent,9,0,8
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,0.05643066418593878,21.0,5914.665850837826,0.01987294328463055,15.736485083555166,14,6896,frequent,3,0,12
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,15.046066840069985,15.0,1279203.9296855049,35.36701674056721,32.27791442535522,31,6899,frequent,6,0,12
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,1.9572443109109696,20.0,207997.6258976467,27.454796196848182,29.7155834712464,17,6899,frequent,6,0,6
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,0.13394662255655596,21.0,14706.580309511983,4.9277897602189675,20.181081046825515,33,6902,frequent,8,0,2
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,0.25061831716686694,20.0,26679.501115581894,10.495897717409266,20.025519349783945,32,6899,frequent,6,0,1
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,3.4797965082204407,20.0,377332.80605273764,29.22227996062626,40.05805298012753,54,6899,frequent,6,0,10
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,0.13394662255655596,21.0,14706.580309511983,4.9277897602189675,20.181081046825515,33,6902,frequent,8,0,2
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,0.6794513418930545,20.0,73421.06601838884,18.900891339300742,23.86978792362164,26,6899,frequent,6,0,11
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,1.306702542292934,21.0,139461.41274678076,24.757708963016146,26.235030663683883,1,6902,frequent,8,0,5
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,0.07024203131109051,21.0,8415.93378287108,0.029966885429091376,20.453988651327812,27,6903,frequent,9,0,1
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,16.714770983997266,15.0,1352086.033929064,35.19687080224384,31.761591872478665,2,6898,frequent,5,0,5
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,4.845407790343525,20.0,480930.5545163417,31.754340062343505,32.565474930122114,22,6902,frequent,8,0,6
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,16.714770983997266,15.0,1352086.033929064,35.19687080224384,31.761591872478665,2,6898,frequent,5,0,5
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,10.035237606403891,18.0,1085730.8955462512,34.98878070569734,53.010641991651184,18,6898,frequent,5,0,6
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,0.1336018859773078,19.0,14783.642627027504,4.9277897602189675,20.181081046825515,33,6900,frequent,7,0,2
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,0.20161302671094125,20.0,20930.34851212631,9.762889951277886,16.67603201393623,41,6894,frequent,2,0,3
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,1.6761762122616948,20.0,186567.9237859089,26.375684701926183,29.07909048910317,53,6898,frequent,5,0,10
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,2.9177628331960888,20.0,300989.6232812243,29.382915050969167,28.968388963836915,25,6903,frequent,9,0,9
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,0.11611517823675684,20.0,12042.060875345143,4.780060203187553,15.972353756278313,15,6894,frequent,2,0,1
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,0.09839034006502968,20.0,10614.172992783808,3.1596670907993056,18.334348434211318,39,6894,frequent,2,0,11
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,14.562612794843734,15.0,1430334.1249544763,35.46662039727254,55.8449911661217,19,6894,frequent,2,0,6
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,0.10805334966642144,21.0,11941.498352300217,3.3579932631801093,19.77234502442255,0,6898,frequent,5,0,1
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,0.10917996079624531,20.0,11841.202758716512,3.7298660637698666,18.955809597466327,35,6877,frequent,1,0,10
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,16.714770983997266,15.0,1352086.033929064,35.19687080224384,31.761591872478665,2,6898,frequent,5,0,5
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,0.10917996079624531,20.0,11841.202758716512,3.7298660637698666,18.955809597466327,35,6877,frequent,1,0,10
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,0.6797196977323103,20.0,73530.32918055222,18.900891339300742,23.86978792362164,26,6870,frequent,0,0,11
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,0.18648340977951414,20.0,19424.097146527773,8.484177477719445,17.199213916881252,34,6897,frequent,4,0,5
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,0.24744442851341159,21.0,28252.63550699448,9.014584711221108,23.684141183818397,52,6899,frequent,6,0,9
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,0.11446448590161185,21.0,12049.787175143518,4.386597527521461,17.59590331474779,8,6903,frequent,9,0,2
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,18.845804539274948,12.0,1816956.9010212757,35.723793524430924,60.1751485820245,20,6870,frequent,0,0,6
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,0.3606549108490971,21.0,38825.20821852267,15.54871316448108,19.928503349303664,16,6902,frequent,8,0,5
