EventID,Region,Region (source),Duration,TimeStep,Original Burst Depth (mm),Area,AspectRatio,Rotation,Burst Start Time,Lat,Long
3565,Central Slopes,Central Slopes,720,30,80.397,100,1.5,1.5707963,2376,-29.7875,151.4125
3566,Central Slopes,Central Slopes,720,30,79.273,100,1.5,1.5707963,2245,-29.9125,151.4125
3567,Central Slopes,Central Slopes,720,30,77.385,100,3.6,1.5707963,2853,-29.8125,151.2875
3568,Central Slopes,Central Slopes,720,30,74.96,100,1.5,1.5707963,2922,-29.8125,151.4375
3569,Central Slopes,Central Slopes,720,30,66.157,100,3.6,1.5707963,2446,-28.2125,152.0875
3570,Central Slopes,Central Slopes,720,30,63.729,100,1.5,1.5707963,2613,-29.9125,151.4125
3571,Central Slopes,Central Slopes,720,30,60.734,100,1.5,1.5707963,2432,-29.9375,151.4125
3572,Central Slopes,Murray Basin,720,30,183.483,100,1.5,0,1921,-35.4125,148.8375
3573,Central Slopes,Murray Basin,720,30,114.591,100,1.5,0.7853982,3060,-37.4625,145.2375
3574,Central Slopes,Murray Basin,720,30,106.059,100,1.5,1.5707963,1068,-35.5125,148.8875
3575,Central Slopes,Central Slopes,720,30,77.169,200,2.3,0,2376,-29.8375,151.4125
3576,Central Slopes,Central Slopes,720,30,73.492,200,2.3,1.5707963,2853,-29.8125,151.2875
3577,Central Slopes,Central Slopes,720,30,72.509,200,2.3,0,2922,-29.8375,151.4375
3578,Central Slopes,Central Slopes,720,30,62.503,200,2.3,1.5707963,2447,-28.2125,152.0875
3579,Central Slopes,Central Slopes,720,30,58.497,200,2.3,1.5707963,2431,-29.9375,151.3875
3580,Central Slopes,Central Slopes,720,30,54.481,200,3.6,2.3561945,2591,-31.3875,151.0375
3581,Central Slopes,Murray Basin,720,30,176.026,200,2.3,0,1921,-35.4125,148.8375
3582,Central Slopes,Murray Basin,720,30,111.026,200,2.3,0.7853982,3060,-37.4625,145.2375
3583,Central Slopes,Murray Basin,720,30,101.841,200,2.3,0,788,-35.5625,148.8375
3584,Central Slopes,Murray Basin,720,30,99.784,200,2.3,1.5707963,1068,-35.5125,148.8875
3585,Central Slopes,Central Slopes,720,30,102.464,500,1.5,0.7853982,3559,-28.0125,151.9625
3586,Central Slopes,Central Slopes,720,30,93.929,500,3.6,1.5707963,2963,-31.3125,149.6625
3587,Central Slopes,Central Slopes,720,30,79.941,500,3.6,1.5707963,1268,-28.3375,152.3125
3588,Central Slopes,Central Slopes,720,30,77.316,500,3.6,0,2792,-28.5125,150.9125
3589,Central Slopes,Murray Basin,720,30,156.07,500,1.5,0.7853982,1921,-35.3875,148.8125
3590,Central Slopes,Murray Basin,720,30,115.19,500,2.3,1.5707963,1874,-36.7375,146.3875
3591,Central Slopes,Murray Basin,720,30,105.916,500,2.3,1.5707963,790,-35.6625,149.5125
3592,Central Slopes,Murray Basin,720,30,101.898,500,2.3,0.7853982,3060,-37.4625,145.2375
3593,Central Slopes,Murray Basin,720,30,94.375,500,2.3,1.5707963,1299,-35.6875,149.4625
3594,Central Slopes,Murray Basin,720,30,90.505,500,2.3,1.5707963,1068,-35.5125,148.8875
3595,Central Slopes,Central Slopes,720,30,103.11,1000,1.5,2.3561945,3185,-33.7375,150.0125
3596,Central Slopes,Central Slopes,720,30,76.64,1000,2.3,0,2792,-28.4875,150.9125
3597,Central Slopes,Central Slopes,720,30,73.9,1000,2.3,2.3561945,2939,-31.4375,151.1625
3598,Central Slopes,Central Slopes,720,30,73.58,1000,2.3,1.5707963,3401,-28.9375,151.9125
3599,Central Slopes,Central Slopes,720,30,72.63,1000,3.6,0.7853982,2429,-30.1875,151.1625
3600,Central Slopes,Central Slopes,720,30,69.68,1000,2.3,1.5707963,2374,-29.6875,150.9125
3601,Central Slopes,Central Slopes,720,30,69.02,1000,2.3,2.3561945,2245,-29.8375,151.3125
3602,Central Slopes,Central Slopes,720,30,64.09,1000,2.3,1.5707963,3165,-29.9375,151.3625
3603,Central Slopes,Central Slopes,720,30,60,1000,2.3,2.3561945,1893,-28.1875,152.3625
3604,Central Slopes,Central Slopes,720,30,53.89,1000,1.5,0.7853982,1378,-33.4875,149.9125
3605,Central Slopes,Central Slopes,720,30,96.27,2500,1.5,0,2937,-30.3875,150.5125
3606,Central Slopes,Central Slopes,720,30,91.28,2500,1.5,0,3185,-33.6875,150.0125
3607,Central Slopes,Central Slopes,720,30,88.57,2500,2.3,2.3561945,3559,-27.9875,152.0125
3608,Central Slopes,Central Slopes,720,30,88.65,2500,2.3,1.5707963,2096,-31.3875,150.7125
3609,Central Slopes,Central Slopes,720,30,87.59,2500,2.3,0.7853982,2615,-29.4875,150.4625
3610,Central Slopes,Central Slopes,720,30,82.84,2500,2.3,0.7853982,617,-28.2375,152.2125
3611,Central Slopes,Central Slopes,720,30,80.73,2500,3.6,1.5707963,3436,-26.8875,151.2625
3612,Central Slopes,Central Slopes,720,30,71.65,2500,2.3,0.7853982,2429,-30.1875,151.1625
3613,Central Slopes,Central Slopes,720,30,66.46,2500,2.3,2.3561945,2244,-29.7375,151.1625
3614,Central Slopes,Central Slopes,720,30,65.34,2500,3.6,2.3561945,1529,-33.3375,150.0125
3615,Central Slopes,Central Slopes,720,30,94.51,5000,3.6,1.5707963,2964,-31.2875,149.3125
3616,Central Slopes,Central Slopes,720,30,81.42,5000,1.5,1.5707963,2615,-29.5875,150.2125
3617,Central Slopes,Central Slopes,720,30,80.15,5000,1.5,0.7853982,3186,-33.7875,149.9125
3618,Central Slopes,Central Slopes,720,30,78.33,5000,1.5,0,1985,-28.6875,151.3125
3619,Central Slopes,Central Slopes,720,30,78.11,5000,3.6,1.5707963,449,-27.2875,151.6125
3620,Central Slopes,Central Slopes,720,30,77.75,5000,1.5,1.5707963,3559,-27.9875,152.0125
3621,Central Slopes,Central Slopes,720,30,77.71,5000,3.6,1.5707963,3437,-26.8875,151.2125
3622,Central Slopes,Central Slopes,720,30,76.41,5000,1.5,0.7853982,617,-28.2875,152.2125
3623,Central Slopes,Central Slopes,720,30,76.16,5000,1.5,1.5707963,2097,-31.4875,150.8125
3624,Central Slopes,Central Slopes,720,30,68.25,5000,3.6,0,2040,-28.2875,152.4125
3625,Central Slopes,Central Slopes,720,30,99.4,10000,2.3,2.3561945,612,-31.0875,150.1125
3626,Central Slopes,Central Slopes,720,30,88.7,10000,2.3,2.3561945,2070,-30.7875,150.5125
3627,Central Slopes,Central Slopes,720,30,85.78,10000,3.6,1.5707963,2964,-31.2875,149.4125
3628,Central Slopes,Central Slopes,720,30,83.98,10000,2.3,2.3561945,2938,-30.7875,150.7125
3629,Central Slopes,Central Slopes,720,30,83.55,10000,3.6,1.5707963,268,-27.1875,151.6125
3630,Central Slopes,Central Slopes,720,30,82.38,10000,1.5,1.5707963,621,-28.3875,152.2125
3631,Central Slopes,Central Slopes,720,30,75.12,10000,2.3,1.5707963,2615,-29.5875,150.1125
3632,Central Slopes,Central Slopes,720,30,74.5,10000,1.5,0.7853982,3437,-27.0875,151.2125
3633,Central Slopes,Central Slopes,720,30,71.67,10000,3.6,1.5707963,448,-27.4875,151.8125
3634,Central Slopes,Central Slopes,720,30,69.62,10000,2.3,1.5707963,2097,-31.4875,150.7125
3635,Central Slopes,Central Slopes,720,30,98.45,20000,3.6,1.570796,629,-28.3625,152.2625
3636,Central Slopes,Central Slopes,720,30,91.91,20000,3.6,2.356194,611,-30.3625,149.0125
3637,Central Slopes,Central Slopes,720,30,80.41,20000,3.6,1.570796,269,-27.1125,151.3875
3638,Central Slopes,Central Slopes,720,30,78.56,20000,3.6,2.356194,2936,-29.2375,149.1375
3639,Central Slopes,Central Slopes,720,30,76.84,20000,3.6,1.570796,447,-27.9875,152.1375
3640,Central Slopes,Central Slopes,720,30,75.77,20000,1.5,2.356194,2071,-30.7375,150.5125
3641,Central Slopes,Central Slopes,720,30,65.38,20000,1.5,0,3437,-27.2375,151.2625
3642,Central Slopes,Central Slopes,720,30,68.09,20000,3.6,2.356194,182,-33.7375,149.6375
3643,Central Slopes,Central Slopes,720,30,66.53,20000,2.3,2.356194,781,-33.8625,149.8875
3644,Central Slopes,Central Slopes,720,30,63.78,20000,2.3,2.356194,78,-31.4875,151.0125
3645,Central Slopes,Central Slopes,720,30,80.85,40000,3.6,2.3561945,2936,-29.3625,149.3875
3646,Central Slopes,Central Slopes,720,30,76.57,40000,2.3,1.5707963,629,-28.3625,152.0125
3647,Central Slopes,Central Slopes,720,30,64.03,40000,2.3,1.5707963,448,-27.6125,151.8875
3648,Central Slopes,Central Slopes,720,30,55.7,40000,1.5,1.5707963,182,-33.8625,149.5125
3649,Central Slopes,Central Slopes,720,30,53.94,40000,2.3,1.5707963,2612,-29.7375,150.0125
3650,Central Slopes,Central Slopes,720,30,53.41,40000,3.6,0,2909,-28.4875,151.3875
3651,Central Slopes,Central Slopes,720,30,45.95,40000,1.5,0.7853982,2844,-33.4875,149.6375
3652,Central Slopes,Central Slopes,720,30,45.7,40000,3.6,2.3561945,559,-33.3625,149.5125
3653,Central Slopes,Murray Basin,720,30,57.47,40000,2.3,2.3561945,3056,-37.2375,145.7625
3654,Central Slopes,Murray Basin,720,30,53.59,40000,1.5,1.5707963,2233,-37.1125,147.6375
3655,Central Slopes,Central Slopes,1080,60,106.175,100,1.5,1.5707963,2851,-29.8375,151.2875
3656,Central Slopes,Central Slopes,1080,60,96.461,100,1.5,1.5707963,2373,-29.7875,151.4125
3657,Central Slopes,Central Slopes,1080,60,82.966,100,1.5,1.5707963,3193,-29.7875,151.4125
3658,Central Slopes,Central Slopes,1080,60,81.101,100,1.5,1.5707963,2431,-29.9375,151.4125
3659,Central Slopes,Central Slopes,1080,60,78.012,100,1.5,1.5707963,2906,-29.9375,151.4375
