Event ID,Region,Region (source),Burst Duration (min),Burst Loading,Original Burst Depth (mm),AEP Window,AEP (source) (%),Burst Start Date,Burst End Date,DB Event Reference No.,DB Pluviograph Reference No.,Offical Gauge,Lat,Long
2012,Central Slopes,Central Slopes,10,1,21.4,frequent,14.4358,10/29/2011 17:20,10/29/2011 17:25,32125,425,qcd_043090,-27.9067,148.6514
2013,Central Slopes,Central Slopes,10,1,18.8,frequent,14.4835,1/13/2006 0:15,1/13/2006 0:20,74903,1252,qcd_416023_77,-29.2913,151.9245
2014,Central Slopes,Central Slopes,10,1,17.4,frequent,14.5075,11/26/2001 16:55,11/26/2001 17:00,33973,449,qcd_054105,-30.3354,150.9338
2015,Central Slopes,Central Slopes,10,1,18.78,frequent,14.5423,2/11/1997 19:25,2/11/1997 19:30,74899,1252,qcd_416023_77,-29.2913,151.9245
2017,Central Slopes,Central Slopes,10,2,17,frequent,24.7035,3/4/2005 15:10,3/4/2005 15:15,75368,1266,qcd_416310a_66,-28.9173,151.5845
2018,Central Slopes,Central Slopes,10,2,12.8,frequent,50.1035,11/11/2004 15:20,11/11/2004 15:25,33238,440,qcd_048031,-29.5407,148.5818
2019,Central Slopes,Central Slopes,10,2,10.6,frequent,57.7779,3/30/2003 12:30,3/30/2003 12:35,33906,454,qcd_055194,-31.3365,150.8537
2020,Central Slopes,Central Slopes,10,3,19,frequent,14.5394,2/17/1999 18:05,2/17/1999 18:10,75427,1267,qcd_416317a_66,-28.5986,151.8886
2021,Central Slopes,Central Slopes,10,3,17.6,frequent,14.5587,12/8/2007 16:30,12/8/2007 16:35,31722,421,qcd_043020,-26.4888,147.9777
2022,Central Slopes,Central Slopes,10,1,13.65,frequent,55.0527,2/6/1990 19:10,2/6/1990 19:15,30456,403,qcd_041359,-27.4034,151.7413
2000,Central Slopes,Central Slopes,10,1,18.8,intermediate,11.7488,2/7/2010 15:05,2/7/2010 15:10,33456,442,qcd_051049,-31.9861,147.9489
2001,Central Slopes,Central Slopes,10,1,22.09,intermediate,5.2255,12/23/1983 15:00,12/23/1983 15:05,34776,458,qcd_056013,-29.6953,151.6936
2002,Central Slopes,Central Slopes,10,1,16.6,intermediate,13.8712,12/21/2006 14:15,12/21/2006 14:20,75961,1281,qcd_419081_77,-31.4303,151.1354
2003,Central Slopes,Central Slopes,10,1,27,intermediate,3.4244,12/25/2004 21:00,12/25/2004 21:05,30560,404,qcd_041430,-28.9653,151.47
2004,Central Slopes,Central Slopes,10,3,18.7,intermediate,13.7335,12/18/1982 18:50,12/18/1982 18:55,34950,459,qcd_056018,-29.7752,151.0819
2005,Central Slopes,Central Slopes,10,3,24.5,intermediate,4.4162,12/17/1994 17:20,12/17/1994 17:25,74913,1252,qcd_416023_77,-29.2913,151.9245
2008,Central Slopes,Central Slopes,10,3,21,intermediate,10.9842,12/14/1992 22:25,12/14/1992 22:30,75369,1266,qcd_416310a_66,-28.9173,151.5845
2009,Central Slopes,Central Slopes,10,1,18.15,intermediate,8.4836,11/20/1994 14:55,11/20/1994 15:00,41659,540,qcd_065035,-32.5059,148.9708
2010,Central Slopes,Central Slopes,10,1,15,intermediate,13.7556,2/15/2003 15:25,2/15/2003 15:30,41449,537,qcd_063254,-33.3211,149.0828
2011,Central Slopes,Central Slopes,10,1,19.25,intermediate,12.3985,11/14/2002 18:50,11/14/2002 18:55,75578,1272,qcd_418069_77,-29.6909,150.929
1981,Central Slopes,Central Slopes,10,1,40.2,rare,0.3234,2/7/2007 17:30,2/7/2007 17:35,74894,1252,qcd_416023_77,-29.2913,151.9245
1982,Central Slopes,Central Slopes,10,1,31,rare,1.5773,1/5/2006 22:30,1/5/2006 22:35,75453,1268,qcd_416415a_66,-28.5716,150.8455
1983,Central Slopes,Central Slopes,10,1,29.4,rare,2.9416,10/13/2005 16:25,10/13/2005 16:30,31453,418,qcd_042102,-27.9364,150.1425
1984,Central Slopes,Central Slopes,10,1,24,rare,2.1251,2/2/2002 19:10,2/2/2002 19:15,75667,1274,qcd_419016_77,-31.0598,151.1265
1986,Central Slopes,Central Slopes,10,3,25.5,rare,1.6424,11/29/2000 17:55,11/29/2000 18:00,76122,1285,qcd_419087_77,-31.5782,150.5318
1987,Central Slopes,Central Slopes,10,3,27.4,rare,0.9482,1/25/2006 12:10,1/25/2006 12:15,75680,1274,qcd_419016_77,-31.0598,151.1265
1992,Central Slopes,Central Slopes,10,3,29.38,rare,2.1723,11/9/1997 15:55,11/9/1997 16:00,30571,404,qcd_041430,-28.9653,151.47
1994,Central Slopes,Central Slopes,10,1,32.2,rare,1.6407,1/1/2000 20:35,1/1/2000 20:40,30634,405,qcd_041445,-28.2144,151.9194
1995,Central Slopes,Central Slopes,10,3,31.5,rare,0.3796,1/25/1996 8:50,1/25/1996 8:55,75954,1281,qcd_419081_77,-31.4303,151.1354
1996,Central Slopes,Central Slopes,10,1,34.56,rare,0.7508,3/31/1990 14:30,3/31/1990 14:35,33404,442,qcd_051049,-31.9861,147.9489
2049,Central Slopes,Central Slopes,15,1,19.11,frequent,14.6627,12/19/1970 16:25,12/19/1970 16:35,40907,531,qcd_063035,-33.0362,149.4146
2050,Central Slopes,Central Slopes,15,1,22,frequent,14.6988,3/17/2005 12:40,3/17/2005 12:50,33708,447,qcd_054102,-30.3735,150.6723
2051,Central Slopes,Central Slopes,15,1,23.47,frequent,15.8801,1/22/1993 18:55,1/22/1993 19:05,33806,448,qcd_054104,-29.3899,151.2448
2052,Central Slopes,Central Slopes,15,1,24.18,frequent,17.3217,4/3/1985 15:10,4/3/1985 15:20,29729,393,qcd_041056,-28.3344,152.2953
2053,Central Slopes,Central Slopes,15,2,26,frequent,14.491,12/6/2007 15:45,12/6/2007 15:55,75011,1255,qcd_416037_77,-28.6265,149.6677
2054,Central Slopes,Central Slopes,15,2,26.8,frequent,14.5288,12/23/2002 17:25,12/23/2002 17:35,19789,403,qcd_041359,-27.4034,151.7413
2056,Central Slopes,Central Slopes,15,2,27.2,frequent,14.6084,11/24/2005 17:20,11/24/2005 17:30,31993,423,qcd_043044,-26.6383,149.4261
2057,Central Slopes,Central Slopes,15,2,19.12,frequent,14.6333,2/1/1973 12:10,2/1/1973 12:20,40920,531,qcd_063035,-33.0362,149.4146
2058,Central Slopes,Central Slopes,15,3,17.12,frequent,15.4387,1/17/1974 16:10,1/17/1974 16:20,41222,534,qcd_063108,-33.7167,149.8667
