,prec,qt,pet
1/01/2012 0:00,0,0.265,0.01212686
1/01/2012 1:00,0,0.265,0.047535623
1/01/2012 2:00,0,0.265,0.103815784
1/01/2012 3:00,0,0.265,0.17713581
1/01/2012 4:00,0,0.265,0.262504098
1/01/2012 5:00,0,0.265,0.354108803
1/01/2012 6:00,0,0.265,0.445713509
1/01/2012 7:00,0,0.265,0.531081796
1/01/2012 8:00,0,0.265,0.604401822
1/01/2012 9:00,0,0.265,0.660681984
1/01/2012 10:00,0,0.265,0.696090747
1/01/2012 11:00,0,0.265,0.708217494
1/01/2012 12:00,0,0.265,0.696236642
1/01/2012 13:00,0,0.265,0.660963841
1/01/2012 14:00,0,0.261,0.604800452
1/01/2012 15:00,0,0.261,0.531570061
1/01/2012 16:00,0,0.261,0.446258167
1/01/2012 17:00,0,0.261,0.354672776
1/01/2012 18:00,2.4,0.261,0.263048989
1/01/2012 19:00,0,0.261,0.177624524
1/01/2012 20:00,0,0.261,0.104215049
1/01/2012 21:00,0,0.261,0.047818257
1/01/2012 22:00,0,0.261,0.012273622
1/01/2012 23:00,0,0.261,1.01E-06
2/01/2012 0:00,0,0.261,0.012245466
2/01/2012 1:00,0,0.261,0.048000545
2/01/2012 2:00,0,0.256,0.104831155
2/01/2012 3:00,0,0.256,0.178868287
2/01/2012 4:00,0,0.256,0.26507152
2/01/2012 5:00,0,0.256,0.357572165
2/01/2012 6:00,0,0.256,0.45007281
2/01/2012 7:00,0,0.256,0.536276042
2/01/2012 8:00,0,0.256,0.610313175
2/01/2012 9:00,0,0.256,0.667143785
2/01/2012 10:00,0.2,0.252,0.702898863
2/01/2012 11:00,0,0.252,0.715144216
2/01/2012 12:00,0,0.252,0.703046184
2/01/2012 13:00,0,0.252,0.667428398
2/01/2012 14:00,0,0.252,0.610715704
2/01/2012 15:00,0,0.252,0.536769082
2/01/2012 16:00,0,0.252,0.450622796
2/01/2012 17:00,0,0.252,0.358141653
2/01/2012 18:00,0,0.252,0.26562174
2/01/2012 19:00,0,0.252,0.179361781
2/01/2012 20:00,0,0.248,0.105234325
2/01/2012 21:00,0,0.248,0.048285943
2/01/2012 22:00,0,0.248,0.012393664
2/01/2012 23:00,0,0.248,1.02E-06
3/01/2012 0:00,0,0.248,0.012921162
3/01/2012 1:00,0,0.248,0.050649176
3/01/2012 2:00,0,0.248,0.110615654
3/01/2012 3:00,0,0.248,0.188738096
3/01/2012 4:00,0,0.248,0.279697954
3/01/2012 5:00,0,0.244,0.377302711
3/01/2012 6:00,0,0.244,0.474907468
3/01/2012 7:00,0,0.244,0.565867325
3/01/2012 8:00,0,0.244,0.643989768
3/01/2012 9:00,0,0.244,0.703956245
3/01/2012 10:00,0,0.244,0.74168426
3/01/2012 11:00,0,0.239,0.754605302
3/01/2012 12:00,0,0.239,0.741839711
3/01/2012 13:00,0,0.239,0.704256563
3/01/2012 14:00,0,0.239,0.644414508
3/01/2012 15:00,0,0.239,0.566387571
3/01/2012 16:00,0,0.235,0.475487801
3/01/2012 17:00,0,0.235,0.377903623
3/01/2012 18:00,0,0.235,0.280278535
3/01/2012 19:00,0,0.235,0.189258821
3/01/2012 20:00,0,0.235,0.11104107
3/01/2012 21:00,0,0.235,0.050950323
3/01/2012 22:00,0,0.235,0.013077536
3/01/2012 23:00,0,0.235,1.08E-06
4/01/2012 0:00,0,0.235,0.01406113
4/01/2012 1:00,0,0.231,0.055117695
4/01/2012 2:00,0,0.231,0.120374708
4/01/2012 3:00,0,0.231,0.205389495
4/01/2012 4:00,0,0.231,0.304374276
4/01/2012 5:00,0,0.231,0.410590202
4/01/2012 6:00,0,0.231,0.516806129
4/01/2012 7:00,0,0.231,0.61579091
4/01/2012 8:00,0,0.227,0.700805697
4/01/2012 9:00,0,0.227,0.76606271
4/01/2012 10:00,0,0.227,0.807119275
4/01/2012 11:00,0,0.227,0.821180275
4/01/2012 12:00,0,0.227,0.80728844
4/01/2012 13:00,0,0.227,0.766389524
4/01/2012 14:00,0,0.227,0.701267909
