,prec,qt,pet
2010-07-15 14:00:00,0.0,0.002,0.0946579282016386
2010-07-15 15:00:00,0.0,0.002,0.0831965658779182
2010-07-15 16:00:00,0.0,0.002,0.0698443154068248
2010-07-15 17:00:00,0.0,0.002,0.0555101934996968
2010-07-15 18:00:00,0.0,0.002,0.0411700623442714
2010-07-15 19:00:00,0.0,0.002,0.0278001932358845
2010-07-15 20:00:00,0.0,0.002,0.0163108023567625
2010-07-15 21:00:00,0.0,0.002,0.0074840835651489
2010-07-15 22:00:00,0.0,0.00175,0.0019209569010946
2010-07-15 23:00:00,0.0,0.002,1.5815268760930018e-07
2010-07-16 00:00:00,0.0,0.002,0.0018489409283088
2010-07-16 01:00:00,0.0,0.002,0.0072475942043097
2010-07-16 02:00:00,0.0,0.002,0.0158284384511678
2010-07-16 03:00:00,0.0,0.002,0.0270072926849605
2010-07-16 04:00:00,0.0,0.002,0.0400231042775835
2010-07-16 05:00:00,0.0,0.002,0.0539897611631391
2010-07-16 06:00:00,0.0,0.002,0.0679564180486948
2010-07-16 07:00:00,0.0,0.002,0.0809722296413178
2010-07-16 08:00:00,0.0,0.002,0.0921510838751104
2010-07-16 09:00:00,0.0,0.002,0.1007319281219685
2010-07-16 10:00:00,0.0,0.002,0.1061305813979694
2010-07-16 11:00:00,0.0,0.002,0.1079795052078437
2010-07-16 12:00:00,0.0,0.002,0.1061528254418446
2010-07-16 13:00:00,0.0,0.002,0.1007749018427099
2010-07-16 14:00:00,0.0,0.002,0.0922118616362953
2010-07-16 15:00:00,0.0,0.002,0.0810466737134515
2010-07-16 16:00:00,0.0,0.002,0.0680394603044398
2010-07-16 17:00:00,0.0,0.002,0.054075748113716
2010-07-16 18:00:00,0.0,0.002,0.0401061819603811
2010-07-16 19:00:00,0.0,0.002,0.0270818051993376
2010-07-16 20:00:00,0.0,0.002,0.015889313010262
2010-07-16 21:00:00,0.0,0.002,0.0072906864886573
2010-07-16 22:00:00,0.0,0.002,0.0018713172297168
2010-07-16 23:00:00,0.0,0.002,1.5406584555887818e-07
2010-07-17 00:00:00,0.0,0.002,0.0015895717609497
2010-07-17 01:00:00,0.0,0.002,0.0062309027322637
2010-07-17 02:00:00,0.0,0.002,0.0136080273829628
2010-07-17 03:00:00,0.0,0.002,0.0232187135534849
2010-07-17 04:00:00,0.0,0.002,0.0344086689688803
2010-07-17 05:00:00,0.0,0.002,0.0464160852363432
2010-07-17 06:00:00,0.0,0.002,0.0584235015038061
2010-07-17 07:00:00,0.0,0.002,0.0696134569192015
2010-07-17 08:00:00,0.0,0.002,0.0792241430897236
2010-07-17 09:00:00,0.2,0.002,0.0866012677404227
2010-07-17 10:00:00,0.0,0.002,0.0912425987117367
2010-07-17 11:00:00,0.0,0.002,0.0928321557556234
2010-07-17 12:00:00,0.0,0.002,0.091261722364338
2010-07-17 13:00:00,0.0,0.002,0.0866382131138024
2010-07-17 14:00:00,0.0,0.002,0.0792763949553155
2010-07-17 15:00:00,0.0,0.002,0.0696774579876088
2010-07-17 16:00:00,0.0,0.002,0.058494894603865
2010-07-17 17:00:00,0.0,0.002,0.0464900099498668
2010-07-17 18:00:00,0.0,0.002,0.0344800925262901
2010-07-17 19:00:00,0.0,0.002,0.0232827734630676
2010-07-17 20:00:00,0.0,0.002,0.0136603624676671
2010-07-17 21:00:00,0.0,0.002,0.006267950037164
2010-07-17 22:00:00,0.0,0.002,0.0016088091180161
2010-07-17 23:00:00,0.0,0.002,1.3245351091407552e-07
2010-07-18 00:00:00,0.0,0.002,0.0015256306060601
2010-07-18 01:00:00,0.0,0.002,0.0059802621971877
2010-07-18 02:00:00,0.0,0.002,0.0130606390812752
2010-07-18 03:00:00,0.0,0.002,0.0222847315866846
2010-07-18 04:00:00,0.0,0.002,0.0330245666048752
2010-07-18 05:00:00,0.0,0.002,0.0445489797879578
2010-07-18 06:00:00,0.0,0.002,0.0560733929710404
2010-07-18 07:00:00,0.0,0.002,0.066813227989231
2010-07-18 08:00:00,0.0,0.002,0.0760373204946404
2010-07-18 09:00:00,0.0,0.002,0.0831176973787279
2010-07-18 10:00:00,0.6000000000000001,0.002,0.0875723289698555
2010-07-18 11:00:00,0.0,0.002,0.0890979454508524
2010-07-18 12:00:00,0.0,0.002,0.087590683365942
2010-07-18 13:00:00,0.0,0.002,0.083153156609802
2010-07-18 14:00:00,0.0,0.002,0.0760874705082032
2010-07-18 15:00:00,0.0,0.002,0.0668746545892635
2010-07-18 16:00:00,0.0,0.002,0.0561419142553179
2010-07-18 17:00:00,0.0,0.002,0.0446199308505436
2010-07-18 18:00:00,0.0,0.002,0.0330931171213445
2010-07-18 19:00:00,0.2,0.002,0.0223462146609828
2010-07-18 20:00:00,0.2,0.002,0.0131108689664287
2010-07-18 21:00:00,0.0,0.002,0.0060158192595466
2010-07-18 22:00:00,0.0,0.002,0.0015440941328043
2010-07-18 23:00:00,0.0,0.002,1.2712551587472204e-07
2010-07-19 00:00:00,0.0,0.002,0.0019507696584111
2010-07-19 01:00:00,0.0,0.002,0.0076467488245692
2010-07-19 02:00:00,0.0,0.002,0.0167001752180414
2010-07-19 03:00:00,0.0,0.002,0.02849469462166
2010-07-19 04:00:00,0.0,0.002,0.0422273401300855
2010-07-19 05:00:00,0.0,0.002,0.0569631978660604
2010-07-19 06:00:00,0.0,0.002,0.0716990556020353
2010-07-19 07:00:00,0.0,0.002,0.0854317011104607
2010-07-19 08:00:00,0.0,0.002,0.0972262205140793
2010-07-19 09:00:00,0.0,0.002,0.1062796469075515
2010-07-19 10:00:00,0.0,0.002,0.1119756260737096
2010-07-19 11:00:00,0.0,0.002,0.1139263776709041
2010-07-19 12:00:00,0.0,0.002,0.1119990951879511
2010-07-19 13:00:00,0.0,0.002,0.1063249873666477
2010-07-19 14:00:00,0.0,0.002,0.0972903455548583
2010-07-19 15:00:00,0.0,0.002,0.0855102451217613
2010-07-19 16:00:00,0.0,0.002,0.0717866713340433
2010-07-19 17:00:00,0.0,0.002,0.0570539204692742
2010-07-19 18:00:00,0.0,0.002,0.0423149932402587
2010-07-19 19:00:00,0.0,0.002,0.0285733108445978
2010-07-19 20:00:00,0.0,0.002,0.016764402387786
2010-07-19 21:00:00,0.0,0.002,0.0076922143770538
2010-07-19 22:00:00,0.0,0.002,0.0019743783141479
2010-07-19 23:00:00,0.0,0.002,1.6255088105416633e-07
2010-07-20 00:00:00,0.0,0.002,0.0016358675318534
2010-07-20 01:00:00,0.0,0.002,0.0064123757884055
2010-07-20 02:00:00,0.0,0.002,0.0140043568432928
2010-07-20 03:00:00,0.0,0.002,0.0238949511853795
2010-07-20 04:00:00,0.0,0.002,0.0354108104857461
