Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,,,
,,,,,,,,,,,,
IFD Design Rainfall Depth (mm),,,,,,,,,,,,
Issued:,16-Sep-26,,,,,,,,,,,
Location Label:,,,,,,,,,,,,
Requested coordinate:,Latitude,-42.435,Longitude,147.4533,,,,,,,,
Nearest grid cell:,Latitude,42.4375 (S),Longitude,147.4625 (E),,,,,,,,
,,,,,,,,,,,,
,,Annual Exceedance Probability (AEP),,,,,,,,,,
Duration,Duration in min,63.20%,50%,20%,10%,5%,2%,1%,1 in 200,1 in 500,1 in 1000,1 in 2000
1 hour,60,10.6,11.9,16.2,19.3,22.5,26.8,30.3,34.7,40,44.3,48.7
1.5 hour,90,12.8,14.3,19.3,22.8,26.2,30.9,34.5,39.5,45.5,50.4,55.4
2 hour,120,14.6,16.4,21.9,25.7,29.4,34.3,38.1,43.7,50.3,55.7,61.3
3 hour,180,17.7,19.8,26.3,30.7,35,40.4,44.5,51.2,59,65.2,71.8
4.5 hour,270,21.5,24.1,31.9,37.1,42,48.5,53.3,61.3,70.7,78.1,86.1
6 hour,360,24.7,27.7,36.8,42.7,48.3,55.7,61.2,70.6,81.4,90,99.2
9 hour,540,30,33.7,44.9,52.1,59,68.4,75.5,87.3,101,111,123
12 hour,720,34.2,38.6,51.7,60.1,68.1,79.5,88.1,102,117,130,143
18 hour,1080,40.9,46.3,62.6,73.1,83.1,97.9,109,126,145,161,177
24 hour,1440,45.9,52.2,71.1,83.3,95,113,126,145,167,185,204
30 hour,1800,50,56.9,77.9,91.6,105,125,140,163,189,209,230
36 hour,2160,53.2,60.7,83.4,98.4,113,134,151,175,204,226,249
48 hour,2880,58.2,66.5,91.9,109,125,149,168,193,223,248,272
72 hour,4320,64.5,73.8,102,121,139,167,188,210,242,267,293
96 hour,5760,68.1,77.8,108,128,147,175,198,218,249,274,301
120 hour,7200,70.2,80.1,111,131,151,179,202,222,252,277,305
144 hour,8640,71.4,81.3,112,132,152,181,204,224,254,278,307
168 hour,10080,72,81.8,112,132,153,181,204,224,255,279,309
