Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532)

IFD Design Rainfall Depth (mm)
Issued:,10 September 2026
Location Label:,
Requested coordinate:,Latitude,-37.159,Longitude,146.11
Nearest grid cell:,Latitude,37.1625 (S),Longitude,146.1125 (E)

,,Annual Exceedance Probability (AEP)
Duration,Duration in min,63.2%,50%,20%,10%,5%,2%,1%
1 hour,60,16.6,18.6,25.3,30.0,34.6,40.7,45.5
1.5 hour,90,19.1,21.4,28.8,33.9,39.0,45.7,50.9
2 hour,120,21.1,23.5,31.5,36.9,42.4,49.5,55.1
3 hour,180,24.2,27.0,35.7,41.8,47.8,55.8,62.0
4.5 hour,270,27.8,30.9,40.8,47.6,54.4,63.5,70.7
6 hour,360,30.8,34.2,45.0,52.4,59.9,70.1,78.1
9 hour,540,35.5,39.4,51.9,60.5,69.2,81.4,91.0
12 hour,720,39.3,43.6,57.6,67.3,77.1,91.1,102
18 hour,1080,45.3,50.4,66.8,78.5,90.2,107,121
24 hour,1440,50.1,55.7,74.2,87.5,101,120,136
30 hour,1800,54.0,60.2,80.4,95.0,110,131,149
36 hour,2160,57.4,64.0,85.7,101,118,141,160
48 hour,2880,62.9,70.1,94.3,112,130,156,177
72 hour,4320,70.9,79.1,106,126,147,176,199
96 hour,5760,76.7,85.3,114,135,157,187,212
120 hour,7200,81.0,89.9,119,140,162,193,218
144 hour,8640,84.5,93.5,123,144,165,195,221
168 hour,10080,87.3,96.3,125,145,165,196,221
