# ILLUSTRATIVE DEMO DATA -- NOT DESIGN RAINFALL. DO NOT REPORT.
#
# Burst depths (mm) by duration (h) and AEP (fraction), obtained by fitting a
# log-normal curve to the annual exceedance series of station 421026's own
# 6.6-year bundled pluviograph record (1977-07-06 to 1984-02-02), then taking a
# cumulative maximum along duration so depth increases with burst length.
#
# A fit to a few years of a single gauge is both biased and imprecise, and
# extrapolating it past the tabulated range is meaningless. ARR design rainfalls
# are regionalised from the whole gauge network and reach AEPs no single record
# can support. This file exists so examples/dffa_demo.py and run_dffa() have an
# IFD to run on. For anything you intend to report, extract BoM IFD depths into
# a table of this layout and read it with ifd_table_from_csv().
duration_h,0.5,0.2,0.1,0.05,0.02,0.01
1,12.0,17.0,20.4,23.7,28.1,31.5
2,17.5,22.8,26.2,29.4,33.4,36.4
3,21.9,28.1,31.9,35.5,40.0,43.3
6,31.1,37.7,41.7,45.3,49.8,53.0
9,38.1,47.0,52.4,57.4,63.5,68.0
12,42.9,52.7,58.8,64.3,71.1,76.0
18,49.4,64.6,74.3,83.4,94.9,103.5
24,55.5,75.3,88.3,100.7,116.8,128.9
36,65.4,94.9,115.4,135.5,162.4,183.3
48,71.3,103.4,125.5,147.3,176.4,199.0
72,80.5,114.2,137.1,159.4,189.0,211.6
