EventID,Region,Region (source),Duration,TimeStep,Original Burst Depth (mm),Area,AspectRatio,Rotation,Burst Start Time,Lat,Long
5347,Murray Basin,Murray Basin,720,30,183.483,100,1.5,0,1921,-35.4125,148.8375
5348,Murray Basin,Murray Basin,720,30,114.591,100,1.5,0.7853982,3060,-37.4625,145.2375
5349,Murray Basin,Murray Basin,720,30,106.059,100,1.5,1.5707963,1068,-35.5125,148.8875
5350,Murray Basin,Murray Basin,720,30,104.517,100,1.5,1.5707963,788,-35.4875,148.8875
5351,Murray Basin,Murray Basin,720,30,100.279,100,1.5,1.5707963,1373,-35.1875,149.1125
5352,Murray Basin,Murray Basin,720,30,98.789,100,1.5,0,651,-35.3875,148.9625
5353,Murray Basin,Murray Basin,720,30,87.189,100,1.5,1.5707963,2448,-36.5875,147.3875
5354,Murray Basin,Murray Basin,720,30,81.852,100,1.5,1.5707963,2645,-35.3875,148.9625
5355,Murray Basin,Murray Basin,720,30,81.552,100,1.5,1.5707963,3064,-36.7875,146.3125
5356,Murray Basin,Murray Basin,720,30,78.896,100,3.6,0.7853982,2845,-35.0875,148.8375
5357,Murray Basin,Murray Basin,720,30,176.026,200,2.3,0,1921,-35.4125,148.8375
5358,Murray Basin,Murray Basin,720,30,111.026,200,2.3,0.7853982,3060,-37.4625,145.2375
5359,Murray Basin,Murray Basin,720,30,101.841,200,2.3,0,788,-35.5625,148.8375
5360,Murray Basin,Murray Basin,720,30,99.784,200,2.3,1.5707963,1068,-35.5125,148.8875
5361,Murray Basin,Murray Basin,720,30,93.176,200,1.5,0,651,-35.4125,148.9625
5362,Murray Basin,Murray Basin,720,30,92.954,200,2.3,2.3561945,1376,-35.3875,149.0125
5363,Murray Basin,Murray Basin,720,30,90.232,200,1.5,0.7853982,2305,-36.6875,147.4375
5364,Murray Basin,Murray Basin,720,30,86.73,200,3.6,1.5707963,1299,-35.6875,149.4125
5365,Murray Basin,Murray Basin,720,30,81.851,200,1.5,1.5707963,2448,-36.5875,147.3875
5366,Murray Basin,Murray Basin,720,30,81.528,200,1.5,0,1898,-35.3625,148.8375
5367,Murray Basin,Murray Basin,720,30,156.07,500,1.5,0.7853982,1921,-35.3875,148.8125
5368,Murray Basin,Murray Basin,720,30,115.19,500,2.3,1.5707963,1874,-36.7375,146.3875
5369,Murray Basin,Murray Basin,720,30,105.916,500,2.3,1.5707963,790,-35.6625,149.5125
5370,Murray Basin,Murray Basin,720,30,101.898,500,2.3,0.7853982,3060,-37.4625,145.2375
5371,Murray Basin,Murray Basin,720,30,94.375,500,2.3,1.5707963,1299,-35.6875,149.4625
5372,Murray Basin,Murray Basin,720,30,90.505,500,2.3,1.5707963,1068,-35.5125,148.8875
5373,Murray Basin,Murray Basin,720,30,86.386,500,2.3,1.5707963,1375,-35.4125,148.8875
5374,Murray Basin,Murray Basin,720,30,83.655,500,1.5,0,651,-35.4125,148.9625
5375,Murray Basin,Murray Basin,720,30,82.535,500,2.3,0,2576,-37.2875,144.2375
5376,Murray Basin,Murray Basin,720,30,81.922,500,2.3,1.5707963,3378,-36.6125,144.7625
5377,Murray Basin,Murray Basin,720,30,131.51,1000,2.3,0.7853982,1922,-35.4875,148.7625
5378,Murray Basin,Murray Basin,720,30,104.43,1000,2.3,1.5707963,1876,-36.6875,146.2625
5379,Murray Basin,Murray Basin,720,30,92.28,1000,2.3,0,1710,-35.9375,149.5125
5380,Murray Basin,Murray Basin,720,30,86.57,1000,2.3,1.5707963,2163,-36.0875,149.4625
5381,Murray Basin,Murray Basin,720,30,84.65,1000,2.3,1.5707963,2310,-36.6875,146.9625
5382,Murray Basin,Murray Basin,720,30,83.21,1000,1.5,1.5707963,1068,-35.5375,148.8625
5383,Murray Basin,Murray Basin,720,30,78.9,1000,2.3,0,2576,-37.2375,144.2625
5384,Murray Basin,Murray Basin,720,30,77.86,1000,1.5,0,2844,-35.0375,148.6625
5385,Murray Basin,Murray Basin,720,30,77.16,1000,2.3,2.3561945,650,-35.5375,149.0625
5386,Murray Basin,Murray Basin,720,30,77.26,1000,1.5,1.5707963,3378,-36.6375,144.7625
5387,Murray Basin,Murray Basin,720,30,120.19,2500,1.5,0.7853982,1922,-35.3875,148.8125
5388,Murray Basin,Murray Basin,720,30,93.96,2500,2.3,1.5707963,1875,-36.6875,146.1625
5389,Murray Basin,Murray Basin,720,30,81.57,2500,3.6,1.5707963,2310,-36.6875,146.8625
5390,Murray Basin,Murray Basin,720,30,77.31,2500,2.3,1.5707963,1300,-35.5875,149.4625
5391,Murray Basin,Murray Basin,720,30,77.04,2500,3.6,0.7853982,3061,-37.2375,145.4625
5392,Murray Basin,Murray Basin,720,30,77.07,2500,2.3,1.5707963,2163,-36.0875,149.4625
5393,Murray Basin,Murray Basin,720,30,76.9,2500,2.3,1.5707963,1377,-35.1875,149.5125
5394,Murray Basin,Murray Basin,720,30,74.29,2500,2.3,0,815,-36.9375,142.4625
5395,Murray Basin,Murray Basin,720,30,71.03,2500,1.5,2.3561945,650,-35.4875,149.0625
5396,Murray Basin,Murray Basin,720,30,70.96,2500,1.5,0,2575,-37.1875,144.2625
5397,Murray Basin,Murray Basin,720,30,97.29,5000,1.5,1.5707963,1923,-35.3875,148.8125
5398,Murray Basin,Murray Basin,720,30,91.3,5000,3.6,1.5707963,789,-35.4875,149.4125
5399,Murray Basin,Murray Basin,720,30,78.95,5000,1.5,0.7853982,1837,-36.8875,142.8125
5400,Murray Basin,Murray Basin,720,30,75.72,5000,1.5,2.3561945,1875,-36.7875,146.0125
5401,Murray Basin,Murray Basin,720,30,76.52,5000,2.3,0.7853982,3059,-37.3875,145.5125
5402,Murray Basin,Murray Basin,720,30,74.88,5000,3.6,1.5707963,2311,-36.6875,146.9125
5403,Murray Basin,Murray Basin,720,30,73.6,5000,3.6,1.5707963,393,-35.0875,148.0125
5404,Murray Basin,Murray Basin,720,30,71.21,5000,1.5,2.3561945,2163,-36.1875,149.4125
5405,Murray Basin,Murray Basin,720,30,70,5000,3.6,1.5707963,1374,-35.2875,149.2125
5406,Murray Basin,Murray Basin,720,30,68.73,5000,1.5,0,2846,-33.8875,148.8125
5407,Murray Basin,Murray Basin,720,30,85.33,10000,2.3,1.5707963,789,-35.3875,149.5125
5408,Murray Basin,Murray Basin,720,30,77.56,10000,1.5,1.5707963,1920,-35.3875,149.0125
5409,Murray Basin,Murray Basin,720,30,75.9,10000,1.5,0.7853982,3059,-37.3875,145.5125
5410,Murray Basin,Murray Basin,720,30,74.26,10000,2.3,1.5707963,2309,-36.6875,146.9125
5411,Murray Basin,Murray Basin,720,30,70.78,10000,2.3,1.5707963,393,-35.0875,147.9125
5412,Murray Basin,Murray Basin,720,30,69.73,10000,1.5,1.5707963,1837,-36.8875,142.9125
5413,Murray Basin,Murray Basin,720,30,67.02,10000,1.5,0.7853982,221,-36.5875,146.6125
5414,Murray Basin,Murray Basin,720,30,67.01,10000,1.5,2.3561945,325,-37.2875,143.4125
5415,Murray Basin,Murray Basin,720,30,66.95,10000,2.3,0,2846,-34.3875,148.7125
5416,Murray Basin,Murray Basin,720,30,66.82,10000,1.5,1.5707963,1877,-36.6875,146.0125
5417,Murray Basin,Murray Basin,720,30,84.36,20000,3.6,1.570796,182,-34.7375,149.3875
5418,Murray Basin,Murray Basin,720,30,69.93,20000,1.5,1.570796,790,-35.4875,149.5125
5419,Murray Basin,Murray Basin,720,30,64.37,20000,1.5,0,3056,-37.2375,145.8875
5420,Murray Basin,Murray Basin,720,30,61.06,20000,1.5,1.570796,2310,-36.7375,146.8875
5421,Murray Basin,Murray Basin,720,30,59.65,20000,2.3,1.570796,399,-36.2375,142.8875
5422,Murray Basin,Murray Basin,720,30,59.36,20000,2.3,0,2846,-34.1125,148.8875
5423,Murray Basin,Murray Basin,720,30,57.52,20000,3.6,0,2233,-36.3625,149.1375
5424,Murray Basin,Murray Basin,720,30,55.81,20000,1.5,1.570796,222,-36.4875,146.5125
5425,Murray Basin,Murray Basin,720,30,55.24,20000,2.3,1.570796,562,-34.2375,149.6375
5426,Murray Basin,Murray Basin,720,30,54.98,20000,1.5,1.570796,1838,-36.8625,142.8875
5427,Murray Basin,Murray Basin,720,30,75.52,40000,2.3,1.570796,182,-34.6125,149.1375
5428,Murray Basin,Murray Basin,720,30,57.47,40000,2.3,2.356194,3056,-37.2375,145.7625
5429,Murray Basin,Murray Basin,720,30,53.64,40000,1.5,0,2846,-34.2375,149.0125
5430,Murray Basin,Murray Basin,720,30,53.59,40000,1.5,1.570796,2233,-37.1125,147.6375
