EventID,Region,Region (source),Duration,TimeStep,Original Burst Depth (mm),Area,AspectRatio,Rotation,Burst Start Time,Lat,Long
9802,Wet Tropics,Wet Tropics,720,30,305.735,100,1.5,0,1987,-17.7625,145.5875
9803,Wet Tropics,Wet Tropics,720,30,301.026,100,3.6,0.7853982,2123,-19.2125,146.6125
9804,Wet Tropics,Wet Tropics,720,30,292.466,100,3.6,0,2808,-17.2125,145.8375
9805,Wet Tropics,Wet Tropics,720,30,288.451,100,1.5,0,1892,-17.6375,145.8625
9806,Wet Tropics,Wet Tropics,720,30,240.501,100,3.6,0,3277,-17.2125,145.8375
9807,Wet Tropics,Wet Tropics,720,30,205.79,100,3.6,0.7853982,3260,-19.2375,146.6375
9808,Wet Tropics,Wet Tropics,720,30,201.528,100,3.6,0,2983,-17.5125,145.9875
9809,Wet Tropics,Wet Tropics,720,30,186.314,100,3.6,0.7853982,2527,-19.2875,146.5375
9810,Wet Tropics,Wet Tropics,720,30,149.709,100,3.6,1.5707963,2585,-21.2125,148.9375
9811,Wet Tropics,Wet Tropics,720,30,148.417,100,1.5,1.5707963,3040,-20.5625,148.4875
9812,Wet Tropics,Wet Tropics,720,30,411.104,200,1.5,0,1559,-21.0625,148.6125
9813,Wet Tropics,Wet Tropics,720,30,319.828,200,2.3,2.3561945,1632,-21.1125,148.5875
9814,Wet Tropics,Wet Tropics,720,30,304.246,200,2.3,1.5707963,1252,-21.2375,148.6625
9815,Wet Tropics,Wet Tropics,720,30,285.179,200,2.3,0.7853982,2123,-19.2125,146.6125
9816,Wet Tropics,Wet Tropics,720,30,270.405,200,2.3,0,1892,-17.6625,145.8625
9817,Wet Tropics,Wet Tropics,720,30,264.365,200,1.5,0.7853982,1987,-17.7625,145.6125
9818,Wet Tropics,Wet Tropics,720,30,262.489,200,1.5,1.5707963,2361,-17.9125,145.6625
9819,Wet Tropics,Wet Tropics,720,30,258.155,200,2.3,0,1366,-17.9625,145.6375
9820,Wet Tropics,Wet Tropics,720,30,227.659,200,2.3,0.7853982,2540,-19.2625,146.7875
9821,Wet Tropics,Wet Tropics,720,30,227.499,200,2.3,0.7853982,3268,-20.4875,148.3375
9822,Wet Tropics,Wet Tropics,720,30,376.507,500,1.5,0,1559,-21.0625,148.6125
