Event ID,Region,Region (source),Burst Duration (min),Burst Loading,Original Burst Depth (mm),AEP Window,AEP (source) (%),Burst Start Date,Burst End Date,DB Event Reference No.,DB Pluviograph Reference No.,Offical Gauge,Lat,Long
3706,Murray Basin,Murray Basin,10,1,14.05,frequent,14.43,2/7/1998 22:00,2/7/1998 22:05,123663,1995,qcd_570822_166,-35.2446,149.1934
3707,Murray Basin,Murray Basin,10,1,14.1,frequent,14.4637,1/16/2004 14:35,1/16/2004 14:40,129731,2034,qcd_570991_75,-35.2119,149.1056
3708,Murray Basin,Murray Basin,10,1,14.4,frequent,14.4768,12/22/2007 10:10,12/22/2007 10:15,125094,2003,qcd_570909_75,-35.3505,149.0466
3709,Murray Basin,Murray Basin,10,2,10.85,frequent,28.5504,11/2/1988 13:05,11/2/1988 13:10,125590,2005,qcd_570916_2,-35.7872,149.4174
3710,Murray Basin,Murray Basin,10,2,10.5,frequent,30.3701,12/11/2004 13:05,12/11/2004 13:10,74247,1238,qcd_410112_77,-34.5745,148.0892
3711,Murray Basin,Murray Basin,10,2,9.8,frequent,38.1681,3/23/1999 11:05,3/23/1999 11:10,72956,1203,qcd_405293_74,-36.8873,145.0576
3712,Murray Basin,Murray Basin,10,2,8,frequent,44.3336,12/14/1993 16:35,12/14/1993 16:40,73406,1213,qcd_406263_74,-36.0959,144.6754
3713,Murray Basin,Murray Basin,10,2,8.2,frequent,46.851,3/11/2008 17:05,3/11/2008 17:10,71074,1164,qcd_401203_74,-36.946,147.6057
3714,Murray Basin,Murray Basin,10,3,12.87,frequent,14.5218,2/1/1993 16:15,2/1/1993 16:20,73155,1208,qcd_406213_74,-37.017,144.5395
3715,Murray Basin,Murray Basin,10,3,14.4,frequent,14.5393,3/4/1992 12:35,3/4/1992 12:40,123100,1986,qcd_570802_2,-35.2594,149.0523
3694,Murray Basin,Murray Basin,10,1,17.59,intermediate,3.694,7/27/1995 12:00,7/27/1995 12:05,74720,1248,qcd_415257_74,-36.4284,142.9842
3695,Murray Basin,Murray Basin,10,1,18.1,intermediate,4.3151,1/22/1999 17:05,1/22/1999 17:10,73765,1223,qcd_407284_74,-35.889,144.0434
3696,Murray Basin,Murray Basin,10,1,17.6,intermediate,6.0103,12/6/1996 16:10,12/6/1996 16:15,45625,590,qcd_075050,-33.6104,146.3161
3697,Murray Basin,Murray Basin,10,2,14.4,intermediate,10.7316,11/18/1995 15:25,11/18/1995 15:30,71841,1182,qcd_404204_74,-36.1238,145.8296
3698,Murray Basin,Murray Basin,10,3,14.49,intermediate,9.9011,4/17/1979 14:00,4/17/1979 14:05,54272,690,qcd_088049,-37,145
3699,Murray Basin,Murray Basin,10,3,12.2,intermediate,12.9311,11/26/2010 15:05,11/26/2010 15:10,46475,600,qcd_079086,-36.8637,143.123
3700,Murray Basin,Murray Basin,10,1,16.77,intermediate,5.1978,12/27/2008 20:40,12/27/2008 20:45,74209,1237,qcd_410025_77,-34.7877,148.377
3701,Murray Basin,Murray Basin,10,3,18.75,intermediate,3.9404,3/4/1992 12:35,3/4/1992 12:40,129811,2035,qcd_570992_75,-35.2078,149.0964
3702,Murray Basin,Murray Basin,10,1,12.15,intermediate,5.1098,12/6/1986 18:40,12/6/1986 18:45,14800,208,qcd_026021,-37.7473,140.7739
3705,Murray Basin,Murray Basin,10,3,14.2,intermediate,13.9885,1/21/1991 11:45,1/21/1991 11:50,128616,2024,qcd_570970_2,-35.5731,149.0683
3682,Murray Basin,Murray Basin,10,1,28.27,rare,0.3159,1/26/1993 21:20,1/26/1993 21:25,74640,1245,qcd_415237_74,-37.0257,142.8218
3684,Murray Basin,Murray Basin,10,1,21.4,rare,2.1869,1/28/1999 21:40,1/28/1999 21:45,74063,1233,qcd_409023_77,-35.4344,144.7586
3685,Murray Basin,Murray Basin,10,1,39.69,rare,0.0336,9/19/2008 9:30,9/19/2008 9:35,501,762,qcd_00081_205,-36.2611,148.3778
3686,Murray Basin,Murray Basin,10,2,21.4,rare,1.2969,4/19/2005 14:35,4/19/2005 14:40,47923,616,qcd_082039,-36.1047,146.5094
3687,Murray Basin,Murray Basin,10,2,37.6,rare,0.0751,3/14/1997 15:20,3/14/1997 15:25,48018,617,qcd_082042,-36.8472,145.7308
