Event ID,Region,Region (source),Burst Duration (min),Burst Loading,Original Burst Depth (mm),AEP Window,AEP (source) (%),Burst Start Date,Burst End Date,DB Event Reference No.,DB Pluviograph Reference No.,Offical Gauge,Lat,Long
6551,Southern Slopes (Tasmania),Southern Slopes (Tasmania),10,1,8.47,frequent,14.7077,9/10/2005 15:20,9/10/2005 15:25,10623,827,qcd_0159_129,-42.56,145.68
6552,Southern Slopes (Tasmania),Southern Slopes (Tasmania),10,1,9.13,frequent,15.0387,11/13/2000 17:50,11/13/2000 17:55,7611,818,qcd_0137_129,-41.81,145.97
6553,Southern Slopes (Tasmania),Southern Slopes (Tasmania),10,1,11.63,frequent,15.0854,3/2/1985 4:20,3/2/1985 4:25,55938,712,qcd_091079,-41.0867,145.5517
6555,Southern Slopes (Tasmania),Southern Slopes (Tasmania),10,2,5.8,frequent,54.3578,12/19/2003 14:30,12/19/2003 14:35,11175,832,qcd_0168_129,-42.2145,147.7808
6556,Southern Slopes (Tasmania),Southern Slopes (Tasmania),10,3,7.82,frequent,14.5875,7/23/1966 12:40,7/23/1966 12:45,56524,741,qcd_096014,-42.2539,146.62
6557,Southern Slopes (Tasmania),Southern Slopes (Tasmania),10,3,8.31,frequent,14.6125,2/23/1966 18:25,2/23/1966 18:30,48358,713,qcd_091104,-41.5397,147.2033
6558,Southern Slopes (Tasmania),Southern Slopes (Tasmania),10,1,2.44,frequent,99.9834,1/28/1995 13:20,1/28/1995 13:25,56144,713,qcd_091104,-41.5397,147.2033
6561,Southern Slopes (Tasmania),Southern Slopes (Tasmania),10,3,4,frequent,93.1744,8/4/2009 3:25,8/4/2009 3:30,57089,747,qcd_097053,-42.7681,146.0461
6565,Southern Slopes (Tasmania),Southern Slopes (Tasmania),10,3,6.02,frequent,58.5424,2/5/1994 12:45,2/5/1994 12:50,828,763,qcd_0010_129,-41.6138,145.1622
6566,Southern Slopes (Tasmania),Southern Slopes (Tasmania),10,3,7,frequent,47.1984,2/21/1968 0:50,2/21/1968 0:55,56797,745,qcd_097008,-42.0661,145.5681
6533,Southern Slopes (Tasmania),Southern Slopes (Tasmania),10,1,8.4,intermediate,13.8391,10/26/1999 14:55,10/26/1999 15:00,56257,736,qcd_094157,-43.1639,147.8333
6534,Southern Slopes (Tasmania),Southern Slopes (Tasmania),10,1,10.87,intermediate,5.2053,12/27/1991 18:25,12/27/1991 18:30,11121,829,qcd_0162_129,-41.8157,147.5671
6538,Southern Slopes (Tasmania),Southern Slopes (Tasmania),10,1,10.26,intermediate,6.0166,4/10/1978 21:15,4/10/1978 21:20,54196,713,qcd_091104,-41.5397,147.2033
6539,Southern Slopes (Tasmania),Southern Slopes (Tasmania),10,3,15.8,intermediate,5.7865,5/18/2007 8:35,5/18/2007 8:40,10607,828,qcd_0161_129,-41.5186,147.9858
6542,Southern Slopes (Tasmania),Southern Slopes (Tasmania),10,3,13.94,intermediate,7.9032,1/15/1977 18:20,1/15/1977 18:25,55918,712,qcd_091079,-41.0867,145.5517
6543,Southern Slopes (Tasmania),Southern Slopes (Tasmania),10,3,12.2,intermediate,9.0314,2/22/2007 16:20,2/22/2007 16:25,4711,800,qcd_0081_129,-41.6804,146.38
6546,Southern Slopes (Tasmania),Southern Slopes (Tasmania),10,3,9.7,intermediate,8.4849,4/1/1994 13:45,4/1/1994 13:50,11109,829,qcd_0162_129,-41.8157,147.5671
6547,Southern Slopes (Tasmania),Southern Slopes (Tasmania),10,3,8.8,intermediate,11.1454,12/20/2001 16:30,12/20/2001 16:35,5446,802,qcd_0093_129,-41.75,147.12
6548,Southern Slopes (Tasmania),Southern Slopes (Tasmania),10,1,11.2,intermediate,11.4639,10/29/2011 12:35,10/29/2011 12:40,57099,748,qcd_098000,-40.0092,144.1111
