Event ID,Region,Region (source),Burst Duration (min),Burst Loading,Original Burst Depth (mm),AEP Window,AEP (source) (%),Burst Start Date,Burst End Date,DB Event Reference No.,DB Pluviograph Reference No.,Offical Gauge,Lat,Long
2849,Wet Tropics,Wet Tropics,10,1,23.3,frequent,14.4223,12/29/1990 12:45,12/29/1990 12:50,110012,1764,qcd_533011_66,-21.4797,148.8283
8540,Wet Tropics,Wet Tropics,10,1,26.81,frequent,14.5958,12/30/1977 6:35,12/30/1977 6:40,18174,250,qcd_032004,-18.2544,146.0192
8541,Wet Tropics,Wet Tropics,10,3,20,frequent,14.5243,1/3/1996 14:50,1/3/1996 14:55,109240,1747,qcd_531016_66,-17.7462,145.5626
8542,Wet Tropics,Wet Tropics,10,3,20.3,frequent,14.9354,2/11/1993 15:20,2/11/1993 15:25,17444,243,qcd_031046,-17.677,145.115
8543,Wet Tropics,Wet Tropics,10,1,22.8,frequent,24.0854,2/3/2004 2:40,2/3/2004 2:45,20218,274,qcd_033257,-20.0151,148.2152
8544,Wet Tropics,Wet Tropics,10,1,25.52,frequent,21.9292,2/6/1976 1:50,2/6/1976 1:55,19513,263,qcd_033021,-21.2667,148.9667
8547,Wet Tropics,Wet Tropics,10,1,14.5,frequent,66.0387,2/16/1992 15:25,2/16/1992 15:30,57944,868,qcd_118003a_66,-19.3203,146.7011
8548,Wet Tropics,Wet Tropics,10,1,13,frequent,73.8446,2/12/1998 13:55,2/12/1998 14:00,59197,906,qcd_130403a_66,-22.0383,149.1286
8549,Wet Tropics,Wet Tropics,10,3,17.2,frequent,47.8892,10/21/2003 18:45,10/21/2003 18:50,109707,1757,qcd_533003_66,-20.8749,148.3899
8550,Wet Tropics,Wet Tropics,10,3,16.57,frequent,44.3214,11/23/1983 14:50,11/23/1983 14:55,19391,262,qcd_033013,-20.5533,147.8464
8522,Wet Tropics,Wet Tropics,10,1,26,intermediate,9.0416,12/22/1998 2:15,12/22/1998 2:20,57454,851,qcd_108002a_66,-16.1807,145.2808
8523,Wet Tropics,Wet Tropics,10,1,21.5,intermediate,10.1644,5/5/1996 15:00,5/5/1996 15:05,109234,1747,qcd_531016_66,-17.7462,145.5626
8524,Wet Tropics,Wet Tropics,10,3,24,intermediate,9.5098,2/11/2002 16:15,2/11/2002 16:20,108909,1742,qcd_531005_66,-17.3793,145.6521
8525,Wet Tropics,Wet Tropics,10,3,21.7,intermediate,11.0443,2/1/1995 15:05,2/1/1995 15:10,17473,243,qcd_031046,-17.677,145.115
8529,Wet Tropics,Wet Tropics,10,3,21.5,intermediate,10.1644,2/23/1995 20:55,2/23/1995 21:00,109267,1747,qcd_531016_66,-17.7462,145.5626
8532,Wet Tropics,Wet Tropics,10,3,27.49,intermediate,5.5542,2/23/1992 16:00,2/23/1992 16:05,17775,246,qcd_031066,-16.995,145.4253
8533,Wet Tropics,Wet Tropics,10,1,25.3,intermediate,3.291,3/16/1969 18:20,3/16/1969 18:25,17891,247,qcd_031083,-17.84,145.5956
8535,Wet Tropics,Wet Tropics,10,3,23.12,intermediate,13.8756,1/28/1999 17:05,1/28/1999 17:10,17778,246,qcd_031066,-16.995,145.4253
8538,Wet Tropics,Wet Tropics,10,1,20.3,intermediate,12.4246,1/20/1994 15:10,1/20/1994 15:15,109604,1755,qcd_532009_66,-17.9238,145.6291
8539,Wet Tropics,Wet Tropics,10,1,23,intermediate,6.1549,12/20/1998 14:45,12/20/1998 14:50,109165,1746,qcd_531015_66,-17.783,145.5189
8507,Wet Tropics,Wet Tropics,10,1,31.8,rare,2.0743,2/8/1992 18:15,2/8/1992 18:20,17746,246,qcd_031066,-16.995,145.4253
8508,Wet Tropics,Wet Tropics,10,1,33,rare,0.5905,11/18/1996 15:10,11/18/1996 15:15,109243,1747,qcd_531016_66,-17.7462,145.5626
